as_of,live_candidate,live_policy,live_signal,live_recommendation_mode,live_sell_pct,live_mean_predicted,live_mean_ic,live_aggregate_oos_r2,shadow_candidate,shadow_policy,shadow_signal,shadow_recommendation_mode,shadow_sell_pct,shadow_mean_predicted,shadow_mean_ic,shadow_aggregate_oos_r2
2025-04-30,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,DEFER-TO-TAX-DEFAULT,0.5,-0.11644650319384661,0.16508211926845973,-1.0177866537129239,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.06655993473292028,-0.07925959360654221,-0.17773821784630228
2025-05-30,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,DEFER-TO-TAX-DEFAULT,0.5,-0.12166762798126567,0.17806922424034533,-0.864457121248771,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.06122500531143466,-0.10695872256939803,-0.15372510689242125
2025-06-30,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,DEFER-TO-TAX-DEFAULT,0.5,-0.11840901453330609,0.1365662446215365,-0.7542352301843775,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05517354436292035,-0.11961260658349279,-0.15182424383597004
2025-07-31,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,DEFER-TO-TAX-DEFAULT,0.5,-0.06881767170029966,0.1283536849648988,-1.0351110128229033,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.052676261248378015,-0.13638377575236404,-0.15179178459109122
2025-08-29,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,DEFER-TO-TAX-DEFAULT,0.5,-0.057882245450929674,0.10609398003336622,-1.2380385815353936,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05164367618829994,-0.14988405684042405,-0.1555119357051855
2025-09-30,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,DEFER-TO-TAX-DEFAULT,0.5,-0.05169223741689111,0.11966448149945352,-1.186986106685771,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,-0.15542079443802082
2025-10-31,production_4_model_ensemble,current_production_mapping,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.004204846607459016,0.11966448149945352,-1.186986106685771,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,-0.15542079443802082
2025-11-28,production_4_model_ensemble,current_production_mapping,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,-0.030842646509390868,0.11966448149945352,-1.186986106685771,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,-0.15542079443802082
2025-12-31,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,DEFER-TO-TAX-DEFAULT,0.5,-0.03696525248793138,0.11966448149945352,-1.186986106685771,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,-0.15542079443802082
2026-01-30,production_4_model_ensemble,current_production_mapping,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.022258338080287342,0.11966448149945352,-1.186986106685771,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,-0.15542079443802082
2026-02-27,production_4_model_ensemble,current_production_mapping,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,-0.0007097223124911956,0.11966448149945352,-1.186986106685771,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,-0.15542079443802082
2026-03-31,production_4_model_ensemble,current_production_mapping,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.024129451222855845,0.11966448149945352,-1.186986106685771,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,-0.15542079443802082
