candidate_name,candidate_type,model_type,benchmark,n_features,feature_columns,policy_return_sign,policy_return_neutral_3pct,policy_return_tiered,policy_uplift_vs_sell_50_neutral_3pct,avg_hold_neutral_3pct,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value,strategy
live_production_ensemble,live_ensemble,ensemble,VXUS,13,,0.06602688042461373,0.06168142315562837,0.024225340808369872,0.02238418700514901,0.7777777777777778,108,0.062457724808749414,0.6203703703703703,0.16441987733544666,-0.2909064633165275,0.062457724808749414,0.7135174761275459,
ridge_lean_v1,model,ridge,VXUS,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.08464142323787795,0.08382644066065545,0.050131885505100046,0.04452920451017608,0.7268518518518519,108,0.41492087989558624,0.7037037037037037,0.1431198192577981,-0.026757702810232153,0.41492087989558624,0.0268279882978242,
gbt_lean_plus_two,model,gbt,VXUS,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",0.07924530159085216,0.07624656418020663,0.039873476002629624,0.03694932802972725,0.8935185185185185,108,0.18051255183574985,0.6851851851851852,0.14202516578958352,-0.0666231153278396,0.18051255183574985,0.22178746160242932,
elasticnet_lean_v1,model,elasticnet,VXUS,13,"mom_3m,mom_6m,mom_12m,yield_slope,yield_curvature,credit_spread_hy,nfci,vix,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income,medical_cpi_yoy,roe",0.08788178127713653,0.08197019059181523,0.04563590913293062,0.04267295444133586,0.8703703703703703,108,0.18591508753466218,0.7407407407407407,0.14377211196514111,-0.04395174183287898,0.18591508753466218,0.2125945051522118,
ensemble_ridge_gbt,ensemble,ridge+gbt,VXUS,25,"ridge_lean_v1,gbt_lean_plus_two",0.07637624966677138,0.07776360465975217,0.0451768421231363,0.03846636850927279,0.7870370370370371,108,0.34017357836272355,0.6574074074074074,0.13794194535079624,0.10605447485207709,0.34017357836272355,0.028095866321049538,
baseline_historical_mean,baseline,baseline,VXUS,0,,0.07859447230095874,0.07859447230095874,0.03929723615047937,0.03929723615047937,1.0,108,-0.3761686155902567,0.7037037037037037,0.14765615964826645,-0.11278975223046794,-0.3761686155902567,0.01761210420579981,historical_mean
live_production_ensemble,live_ensemble,ensemble,VEA,13,,0.06260785594140328,0.056382702318842265,0.022310746061310827,0.02198041138335741,0.7666666666666667,150,0.09750655584692652,0.6266666666666667,0.15041680501310115,-0.23818985317905805,0.09750655584692652,0.5105981067736872,
ridge_lean_v1,model,ridge,VEA,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.07226788186663813,0.06825339964552853,0.03113670523818163,0.03385110871004368,0.7566666666666667,150,0.317509222632117,0.64,0.13392057492367657,0.038017631548993513,0.317509222632117,0.044558461412593314,
gbt_lean_plus_two,model,gbt,VEA,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",0.06115568647029249,0.06229659762416484,0.03177663560750674,0.027894306688679982,0.8033333333333333,150,0.15511254843371614,0.62,0.14032148850113926,-0.13714489565908417,0.15511254843371614,0.2621012727569653,
elasticnet_lean_v1,model,elasticnet,VEA,13,"mom_3m,mom_6m,mom_12m,yield_slope,yield_curvature,credit_spread_hy,nfci,vix,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income,medical_cpi_yoy,roe",0.07213383102788982,0.06693247393790766,0.02842519040718841,0.0325301830024228,0.8266666666666667,150,0.18076672300429247,0.6733333333333333,0.1400405684769484,-0.0904017675249793,0.18076672300429247,0.1599763831121625,
