benchmark,model_mean_ic,model_mean_hit_rate,model_mean_oos_r2,model_mean_mae,ensemble_ic,ensemble_hit_rate,ensemble_oos_r2,ensemble_mae,family,model_mean_ic_rank,model_mean_hit_rate_rank,model_mean_oos_r2_rank,ensemble_ic_rank,ensemble_hit_rate_rank,ensemble_oos_r2_rank,composite_score,n_obs,corr_to_pgr,beta_to_pgr,downside_corr_to_pgr,diversification_score,corr_bucket,recommendation_role,recommendation_bucket,is_live_production_benchmark
BNDX,0.2339912629101275,0.5961538461538461,-0.639260853717702,0.1554160850517707,0.3018879854322892,0.6025641025641025,-0.3016712055821295,0.1382970524909288,fixed_income,2.0,6.0,1.0,1.0,8.0,3.0,3.5,153,0.1072580140312812,0.0219500962805965,-0.2067439048595636,0.4934712808179861,diversifying,diversification_candidate,fixed_income,True
BND,0.1666191584400825,0.6166666666666667,-0.7840422549192279,0.1419489781653221,0.171454731321392,0.6466666666666666,-0.3981170248697248,0.1312559079313721,fixed_income,7.0,2.0,6.0,8.0,2.0,8.0,5.5,227,0.0388477974172566,0.007811386448709,-0.2502769987882757,0.5239448207222015,diversifying,diversification_candidate,fixed_income,True
VPU,0.234572399077503,0.5611979166666667,-0.6537262939055453,0.1491526092193044,0.2530247131269837,0.578125,-0.4003097056049238,0.1383939030384106,sector,1.0,12.0,3.0,2.0,11.0,9.0,6.333333333333333,265,0.3071428146495061,0.1641204662447306,0.002148416210706,0.3921777524410669,diversifying,diversification_candidate,sector_context,True
VMBS,0.1686172176856637,0.6541666666666667,-1.5857470534357396,0.15572912703846,0.1691228557538717,0.675,-0.4964649484451158,0.1415876958295683,fixed_income,6.0,1.0,11.0,9.0,1.0,14.0,7.0,195,0.0047604651799004,0.0010239538031073,-0.2694562705861071,0.5387522777749509,diversifying,diversification_candidate,fixed_income,True
VEA,0.1066654527740896,0.5966666666666667,-1.0942842387898213,0.1607902120532726,0.0975065558469265,0.6266666666666667,-0.238189853179058,0.1504168050131011,broad_equity,13.0,5.0,8.0,14.0,5.0,1.0,7.666666666666667,223,0.4585559076231043,0.3988662443325768,0.2116614764565928,0.3077562108634246,moderately_correlated,diversification_candidate,international_equity,True
VFH,0.1994976796766355,0.5611979166666666,-1.0357740639530395,0.1497065511247774,0.2518514499633779,0.5677083333333334,-0.3842741138794598,0.1336305771683167,sector,4.0,13.0,7.0,3.0,13.0,7.0,7.833333333333333,265,0.4240271958040461,0.3384489513722785,0.1478847820686158,0.3294077641582915,diversifying,contextual_only,sector_context,True
VNQ,0.2295251408541971,0.5722222222222222,-2.176277532392264,0.1652302151510205,0.2474356204409601,0.5444444444444444,-0.3609054107083955,0.1474393428140283,real_asset,3.0,10.0,12.0,4.0,15.0,5.0,8.166666666666666,257,0.3278844578689449,0.2698952495814985,0.0708747600185174,0.3746092257430917,diversifying,diversification_candidate,real_assets,True
VCIT,0.1237854054447734,0.5958333333333333,-1.3995639648383638,0.1596546806884789,0.1103132161955691,0.625,-0.3833871897163263,0.1423621737522347,fixed_income,11.0,7.0,10.0,11.0,6.0,6.0,8.5,195,0.1188805114703551,0.0361951197710937,-0.2845061769816736,0.5010677475326267,diversifying,diversification_candidate,fixed_income,True
VHT,0.1326954459301343,0.5638020833333334,-0.7625097961965848,0.1527218639145592,0.1781698451021349,0.5885416666666666,-0.4192548033401335,0.1416682367866744,sector,10.0,11.0,5.0,7.0,10.0,10.0,8.833333333333334,265,0.3217423190628233,0.1816541152473444,0.0159831312824984,0.3849927186356371,diversifying,diversification_candidate,sector_context,True
VXUS,0.0738089155801377,0.6157407407407407,-1.3444080203908102,0.1811097854403564,0.0624577248087494,0.6203703703703703,-0.2909064633165275,0.1644198773354466,broad_equity,17.0,3.0,9.0,18.0,7.0,2.0,9.333333333333334,181,0.2819829661211296,0.227350120347379,-0.0630317763992455,0.4107607283174914,diversifying,diversification_candidate,international_equity,True
GLD,0.17994470103791,0.5888888888888889,-2.5147084408902045,0.1995320740556064,0.1836044322355628,0.5722222222222222,-0.6140889693509783,0.1814304454190766,real_asset,5.0,8.0,13.0,6.0,12.0,15.0,9.833333333333334,256,0.0543459770451163,0.0331796690336023,-0.1570876593515043,0.5045420569369349,diversifying,diversification_candidate,real_assets,True
VWO,0.0926885697128429,0.5603448275862069,-0.6464479050365161,0.1656341050345307,0.1081773399014778,0.5459770114942529,-0.3025672535513717,0.1529578491248824,broad_equity,15.0,14.0,2.0,12.0,14.0,4.0,10.166666666666666,252,0.2975850871366608,0.2720956366263656,0.1113160280632288,0.3791478152926844,diversifying,diversification_candidate,international_equity,True
KIE,0.1604854560438303,0.5773809523809523,-4.091807612694394,0.2461140938893536,0.2006949752228426,0.6369047619047619,-1.81858073519722,0.2102274484733869,sector,8.0,9.0,15.0,5.0,4.0,21.0,10.333333333333334,244,0.3838022907427735,0.3604533236559207,0.0901858555347623,0.3521413199098149,diversifying,contextual_only,sector_context,True
VGT,0.1340582130564573,0.5364583333333334,-4.45626621559792,0.1759071054463885,0.1646400184466809,0.5260416666666666,-0.4583115646259945,0.1528173266391879,sector,9.0,16.0,16.0,10.0,16.0,11.0,13.0,265,0.3642812905163444,0.2607971169989742,0.0820893286784248,0.3601881490175157,diversifying,diversification_candidate,sector_context,True
DBC,0.0449531155614561,0.6101190476190477,-118.6887552254037,0.3016556483087582,0.0664427695749667,0.6428571428571429,-1.1769669803641611,0.2019013550781075,real_asset,18.0,4.0,20.0,17.0,3.0,19.0,13.5,241,0.1538724756851363,0.1063622101315164,-0.0524577606337293,0.4540132976052616,diversifying,diversification_candidate,real_assets,True
