feature_name,available_now,first_non_null_date,non_null_rows
baa10y_spread,True,2000-01-31,316
book_value_per_share_growth_yoy,True,2005-11-30,243
breakeven_inflation_10y,True,2003-03-31,278
breakeven_momentum_3m,True,2003-06-30,275
buyback_acceleration,True,2005-06-30,240
buyback_yield,True,2004-12-31,242
channel_mix_agency_pct,True,2004-11-30,244
combined_ratio_ttm,True,2005-04-29,253
cr_acceleration,True,2005-07-29,250
credit_spread_hy,True,2000-01-31,316
duration_rate_shock_3m,True,2005-06-30,250
gainshare_est,True,2004-11-30,258
high_52w,True,2002-04-30,289
investment_book_yield,True,2005-08-31,131
investment_income_growth_yoy,True,2005-11-30,246
medical_cpi_yoy,True,2000-11-30,306
mom_12m,True,2004-09-30,260
mom_3m,True,2001-01-31,304
mom_6m,True,2002-04-30,289
monthly_combined_ratio_delta,True,2004-12-31,255
nfci,True,2000-01-31,316
npw_growth_yoy,True,2005-10-31,238
npw_per_pif_yoy,True,2005-11-30,242
npw_vs_npe_spread_pct,True,2004-11-30,258
pb_ratio,True,2004-11-30,256
pe_ratio,True,2005-09-30,240
pgr_vs_kie_6m,True,2006-05-31,240
pgr_vs_peers_6m,True,2000-05-31,311
pgr_vs_vfh_6m,True,2004-08-31,261
pif_growth_acceleration,True,2005-11-30,240
pif_growth_yoy,True,2005-11-30,227
ppi_auto_ins_yoy,True,2000-11-30,305
rate_adequacy_gap_yoy,True,2000-11-30,305
real_rate_10y,True,2003-03-31,278
real_yield_change_6m,True,2003-09-30,272
roe,True,2008-02-29,219
roe_net_income_ttm,True,2004-11-30,228
roe_trend,True,2005-04-29,221
severity_index_yoy,True,2000-11-30,306
underwriting_income,True,2004-11-30,256
underwriting_income_3m,True,2004-12-31,255
underwriting_income_growth_yoy,True,2005-11-30,242
underwriting_margin_ttm,True,2005-04-29,253
unearned_premium_growth_yoy,True,2005-10-31,234
unearned_premium_to_npw_ratio,True,2004-11-30,256
used_car_cpi_yoy,True,2000-11-30,306
vix,True,2000-01-31,316
vmt_yoy,True,2000-11-30,306
vol_63d,True,2000-06-30,311
yield_curvature,True,2000-01-31,316
yield_slope,True,2000-01-31,316
