candidate_name,model_type,feature_name,feature_position
ridge_lean_v1,ridge,mom_12m,1
ridge_lean_v1,ridge,vol_63d,2
ridge_lean_v1,ridge,yield_slope,3
ridge_lean_v1,ridge,yield_curvature,4
ridge_lean_v1,ridge,real_rate_10y,5
ridge_lean_v1,ridge,credit_spread_hy,6
ridge_lean_v1,ridge,nfci,7
ridge_lean_v1,ridge,vix,8
ridge_lean_v1,ridge,combined_ratio_ttm,9
ridge_lean_v1,ridge,investment_income_growth_yoy,10
ridge_lean_v1,ridge,roe_net_income_ttm,11
ridge_lean_v1,ridge,npw_growth_yoy,12
gbt_lean_plus_two,gbt,mom_3m,1
gbt_lean_plus_two,gbt,mom_6m,2
gbt_lean_plus_two,gbt,mom_12m,3
gbt_lean_plus_two,gbt,vol_63d,4
gbt_lean_plus_two,gbt,yield_slope,5
gbt_lean_plus_two,gbt,yield_curvature,6
gbt_lean_plus_two,gbt,real_rate_10y,7
gbt_lean_plus_two,gbt,credit_spread_hy,8
gbt_lean_plus_two,gbt,nfci,9
gbt_lean_plus_two,gbt,vix,10
gbt_lean_plus_two,gbt,vmt_yoy,11
gbt_lean_plus_two,gbt,pif_growth_yoy,12
gbt_lean_plus_two,gbt,investment_book_yield,13
gbt_lean_plus_two,gbt,underwriting_income_growth_yoy,14
