as_of,path_name,consensus,recommendation_mode,sell_pct,mean_predicted,mean_ic,mean_hit_rate,aggregate_oos_r2,aggregate_nw_ic,signal_agrees_with_shadow,mode_agrees_with_shadow,sell_agrees_with_shadow,signal_agrees_with_live,mode_agrees_with_live,sell_agrees_with_live
2016-10-31,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.056359742351313934,0.16380584821859187,0.5530205492853086,-0.33281951923107767,0.09819088513377243,True,True,True,True,True,True
2016-10-31,live_production_ensemble_reduced,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.09477810132478637,0.3560761784069452,0.6004022728772678,-0.5661593322965579,0.2651225461985117,True,True,True,True,True,True
2016-10-31,ensemble_ridge_gbt_v16,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.07673501137227905,0.17801518529401564,0.7175110680976313,-0.4679465972597303,0.15566241449836254,True,True,True,True,True,True
2016-10-31,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.09338430025389388,0.13759948566903066,0.7147574342281131,-0.5911942261462042,0.10074494106088763,True,True,True,True,True,True
2016-10-31,ensemble_ridge_gbt_v20_value,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.08158544853120123,0.04256065240597109,0.7142273177606794,-0.5328409505716538,0.1203205899453124,True,True,True,True,True,True
2016-10-31,ensemble_ridge_gbt_v20_best,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.07680786901344572,-0.03745522398835852,0.7044710259480003,-0.5922933917234039,0.05016915871209177,True,True,True,True,True,True
2016-11-30,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.056359742351313934,0.19046369180048592,0.5606772292018971,-0.3334460651603617,0.12083678961517826,True,True,True,True,True,True
2016-11-30,live_production_ensemble_reduced,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.07280186347798195,0.2864997430529738,0.6068336712905025,-0.5516106049480693,0.2829861646472619,True,True,True,True,True,True
2016-11-30,ensemble_ridge_gbt_v16,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05669049246508377,0.11747273606778119,0.7240812341025813,-0.4638222128540115,0.16372276780330383,True,True,True,True,True,True
2016-11-30,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.0720495367935585,0.0982530922511258,0.7213893711166007,-0.577171570774486,0.11408769564971814,True,True,True,True,True,True
2016-11-30,ensemble_ridge_gbt_v20_value,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05827304219398335,0.028370119486277753,0.7213719501432974,-0.5263081934308889,0.1263445694370448,True,True,True,True,True,True
2016-11-30,ensemble_ridge_gbt_v20_best,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.06112832604036696,-0.0301168003860144,0.7117742842956316,-0.5818820500217492,0.05652175904228768,True,True,True,True,True,True
2016-12-30,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.056359742351313934,0.21328628225568314,0.5677432712215321,-0.33290892854588994,0.1411731701596001,True,True,True,True,True,True
2016-12-30,live_production_ensemble_reduced,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.061230454599723164,0.29488062565421447,0.6127812284334023,-0.5400375842336265,0.29759449565160684,True,True,True,True,True,True
2016-12-30,ensemble_ridge_gbt_v16,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.057116688220095094,0.04394528020033951,0.7301621808143547,-0.4599571168693011,0.17083206743077348,True,True,True,True,True,True
2016-12-30,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.07139787901289149,0.09576669145772043,0.7275293305728088,-0.5625171009308434,0.1257157273076466,True,True,True,True,True,True
2016-12-30,ensemble_ridge_gbt_v20_value,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.057059504584451456,-0.034637812183974326,0.7279399585921325,-0.5198369579595548,0.13234075183080118,True,True,True,True,True,True
2016-12-30,ensemble_ridge_gbt_v20_best,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.0573453413913111,-0.02967446168624919,0.7184955141476881,-0.5719174846833734,0.0624330329240968,True,True,True,True,True,True
2017-01-31,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.056359742351313934,0.2326973558488246,0.5743109472049689,-0.33533575149756767,0.16013167438619774,True,True,True,False,True,True
2017-01-31,live_production_ensemble_reduced,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.03826412416477417,0.3077083107190205,0.6166746690094802,-0.5414649170676036,0.2999458748525522,False,True,True,True,True,True
2017-01-31,ensemble_ridge_gbt_v16,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.037428096864346554,0.07163777779635488,0.7358287021902583,-0.46645768394670784,0.1681486140903584,False,True,True,True,True,True
2017-01-31,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.04603666421090982,0.06000789953336462,0.7332522883295194,-0.5610625695403944,0.129471342263761,True,True,True,False,True,True
2017-01-31,ensemble_ridge_gbt_v20_value,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.03435999194550274,0.00044799809179131567,0.7323783303367113,-0.5262353176588881,0.1275345396902233,False,True,True,True,True,True
2017-01-31,ensemble_ridge_gbt_v20_best,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.03945172431129851,-0.06020244397635263,0.7230819916639425,-0.5726901042338335,0.06223328071535625,True,True,True,False,True,True
2017-02-28,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.056359742351313934,0.2454901578633367,0.5804519028011421,-0.3400660838688585,0.1746510063656164,True,True,True,False,True,True
2017-02-28,live_production_ensemble_reduced,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.027159446941685938,0.2709384380395991,0.620259361291285,-0.5500252581911411,0.2984746262454855,False,True,True,True,True,True
2017-02-28,ensemble_ridge_gbt_v16,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.037261261582272706,0.1685072171611388,0.7395156369305393,-0.4749988868966799,0.16517554674466256,False,True,True,True,True,True
2017-02-28,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.06194245169101881,0.05735435596094644,0.7369932492193594,-0.5592630547001909,0.13341204250295158,True,True,True,False,True,True
2017-02-28,ensemble_ridge_gbt_v20_value,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.03386095805919466,0.10191908314141342,0.7364456468455305,-0.5354493033541352,0.12302417383363833,False,True,True,True,True,True
2017-02-28,ensemble_ridge_gbt_v20_best,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05206541206711129,-0.058510382818414766,0.7272925658839389,-0.5738611165075194,0.06447375787350881,True,True,True,False,True,True
2017-03-31,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.056359742351313934,0.2544733322853771,0.5862228049728049,-0.3465236289811082,0.18684874164165688,True,True,True,False,True,True
2017-03-31,live_production_ensemble_reduced,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.02550547150769954,0.3124790586503671,0.6235795454545454,-0.5623935586042299,0.2963409406292447,False,True,True,True,True,True
2017-03-31,ensemble_ridge_gbt_v16,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.03941316426348673,0.09031931869472085,0.7429341491841492,-0.48504368975283585,0.16280202234425123,False,True,True,True,True,True
2017-03-31,ensemble_ridge_gbt_v18,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.05628842607261933,0.04815816767905375,0.7404635295260296,-0.5643821620639942,0.13515505004460504,False,True,True,True,True,True
2017-03-31,ensemble_ridge_gbt_v20_value,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.03813581259319937,0.028604813114522808,0.7401964355089355,-0.5458718556474307,0.11974457052691304,False,True,True,True,True,True
2017-03-31,ensemble_ridge_gbt_v20_best,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.05110081739452507,-0.062250557062285876,0.7311820124320124,-0.580130281848461,0.06539191253447363,False,True,True,True,True,True
2017-04-28,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05784390013813643,0.2724872363060672,0.5916692137520432,-0.3524615497745016,0.19866702311777645,True,True,True,False,True,True
2017-04-28,live_production_ensemble_reduced,NEUTRAL,DEFER-TO-TAX-DEFAULT,0.5,0.0180787809728529,0.35273443920174236,0.6282528972801376,-0.57331467400299,0.29415468324062605,False,True,True,True,True,True
2017-04-28,ensemble_ridge_gbt_v16,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.043693296897700094,0.13835280154865587,0.729845007768769,-0.4909724648779614,0.1663384459944868,True,True,True,False,True,True
2017-04-28,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05036856427136116,0.09991067465976476,0.7258417591657038,-0.5688716091171133,0.1390089084302596,True,True,True,False,True,True
