slice_name,path_name,review_months,mean_predicted,mean_ic,mean_hit_rate,mean_aggregate_oos_r2,mean_sell_pct,signal_changes,mode_changes,signal_agreement_with_shadow_rate,mode_agreement_with_shadow_rate,sell_agreement_with_shadow_rate,signal_agreement_with_live_rate,mode_agreement_with_live_rate,sell_agreement_with_live_rate,outperform_rate,neutral_rate,underperform_rate
full_history,shadow_baseline,150,0.07354575680425858,0.029300862420556413,0.5943085956439534,-0.19891284504569665,0.5,3,0,1.0,1.0,1.0,0.5866666666666667,1.0,1.0,0.88,0.12,0.0
full_history,ensemble_ridge_gbt_v18,150,0.07472390150581595,0.11021924723917058,0.625681726834494,-0.459854803973939,0.5,22,0,0.8066666666666666,1.0,1.0,0.7533333333333333,1.0,1.0,0.7666666666666667,0.18,0.05333333333333334
full_history,ensemble_ridge_gbt_v20_best,150,0.06881317955597108,0.10091307313402313,0.6139013336340481,-0.7188475851118066,0.5,22,0,0.78,1.0,1.0,0.6933333333333334,1.0,1.0,0.74,0.20666666666666667,0.05333333333333334
full_history,live_production_ensemble_reduced,150,0.05314137309055277,0.16853896520731745,0.5957885216990917,-1.4125591932242048,0.5,23,0,0.5866666666666667,1.0,1.0,1.0,1.0,1.0,0.56,0.35333333333333333,0.08666666666666667
pre_2020,shadow_baseline,81,0.053340372091514314,0.05268384646526744,0.553914548470348,-0.22206636106250605,0.5,3,0,1.0,1.0,1.0,0.4444444444444444,1.0,1.0,0.7777777777777778,0.2222222222222222,0.0
pre_2020,ensemble_ridge_gbt_v20_best,81,0.060357819028608116,0.05198709087736941,0.57425693152648,-0.8998636748894739,0.5,9,0,0.8395061728395061,1.0,1.0,0.5432098765432098,1.0,1.0,0.7654320987654321,0.2345679012345679,0.0
pre_2020,ensemble_ridge_gbt_v18,81,0.06149709996280688,0.05947042692240809,0.5804754260467466,-0.5703564196076901,0.5,13,0,0.8024691358024691,1.0,1.0,0.6419753086419753,1.0,1.0,0.7283950617283951,0.2716049382716049,0.0
pre_2020,live_production_ensemble_reduced,81,0.022423329895080023,0.2086185398113448,0.5687191703939675,-1.677273063989248,0.5,17,0,0.4444444444444444,1.0,1.0,1.0,1.0,1.0,0.3950617283950617,0.5432098765432098,0.06172839506172839
post_2020,shadow_baseline,69,0.09726512146704534,0.0018512724550260745,0.6417276944999251,-0.17173263059118132,0.5,0,0,1.0,1.0,1.0,0.7536231884057971,1.0,1.0,1.0,0.0,0.0
post_2020,ensemble_ridge_gbt_v18,69,0.09025101636065272,0.16979394935015268,0.6787499929766321,-0.3301355160560574,0.5,9,0,0.8115942028985508,1.0,1.0,0.8840579710144928,1.0,1.0,0.8115942028985508,0.07246376811594203,0.11594202898550725
post_2020,live_production_ensemble_reduced,69,0.08920168466784686,0.1214890298025897,0.6275655862746723,-1.1018081275435019,0.5,6,0,0.7536231884057971,1.0,1.0,1.0,1.0,1.0,0.7536231884057971,0.13043478260869565,0.11594202898550725
post_2020,ensemble_ridge_gbt_v20_best,69,0.07873903756635367,0.15834792187009492,0.6604404143690193,-0.5063504362423707,0.5,13,0,0.7101449275362319,1.0,1.0,0.8695652173913043,1.0,1.0,0.7101449275362319,0.17391304347826086,0.11594202898550725
post_2022,shadow_baseline,45,0.08712290705033753,-0.006292960382594142,0.6461710670444103,-0.16733872365110944,0.5,0,0,1.0,1.0,1.0,0.6222222222222222,1.0,1.0,1.0,0.0,0.0
post_2022,ensemble_ridge_gbt_v18,45,0.0777374019441092,0.17243354404974612,0.6794640905196204,-0.3052002890108421,0.5,7,0,0.7333333333333333,1.0,1.0,0.8444444444444444,1.0,1.0,0.7333333333333333,0.08888888888888889,0.17777777777777778
post_2022,ensemble_ridge_gbt_v20_best,45,0.06216685125070671,0.1730136778983679,0.662744805707219,-0.46702911519986967,0.5,9,0,0.6222222222222222,1.0,1.0,0.8666666666666667,1.0,1.0,0.6222222222222222,0.2,0.17777777777777778
post_2022,live_production_ensemble_reduced,45,0.05756066127673413,0.11653698410991191,0.6289271592335635,-1.0527777341511673,0.5,6,0,0.6222222222222222,1.0,1.0,1.0,1.0,1.0,0.6222222222222222,0.2,0.17777777777777778
