feature,family,n_total_rows,n_non_null,completeness_pct,trailing_60m_completeness_pct,first_available,last_available,n_unique,std,mean_abs,in_production_model,production_models
credit_spread_hy,macro,315,315,1.0,1.0,2000-01-31,2026-03-31,183,2.5202775458465427,5.354761904761904,True,"bayesian_ridge,elasticnet,gbt,ridge"
nfci,macro,315,315,1.0,1.0,2000-01-31,2026-03-31,229,0.5111138244092291,0.5193168571428571,True,"bayesian_ridge,elasticnet,gbt,ridge"
vix,macro,315,315,1.0,1.0,2000-01-31,2026-03-31,219,8.003219146196884,19.817777777777778,True,"bayesian_ridge,elasticnet,gbt,ridge"
yield_curvature,macro,315,315,1.0,1.0,2000-01-31,2026-03-31,177,0.27806687130181434,0.2245714285714285,True,"bayesian_ridge,elasticnet,gbt,ridge"
yield_slope,macro,315,315,1.0,1.0,2000-01-31,2026-03-31,160,0.9784332531018416,1.1554920634920636,True,"bayesian_ridge,elasticnet,gbt,ridge"
vol_63d,price_relative,315,310,0.9841269841269841,1.0,2000-06-30,2026-03-31,310,0.6305327247868708,0.7430489344269083,True,"bayesian_ridge,elasticnet,gbt,ridge"
vmt_yoy,macro,315,305,0.9682539682539683,1.0,2000-11-30,2026-03-31,275,0.06435638807202003,0.03681763354816283,True,"bayesian_ridge,elasticnet,gbt,ridge"
mom_3m,price_relative,315,303,0.9619047619047619,1.0,2001-01-31,2026-03-31,303,0.38664125489652024,0.3265225450733503,True,"bayesian_ridge,elasticnet,gbt,ridge"
mom_6m,price_relative,315,288,0.9142857142857143,1.0,2002-04-30,2026-03-31,288,0.5476797286279311,0.5227079678103028,True,"bayesian_ridge,elasticnet,gbt,ridge"
real_rate_10y,macro,315,277,0.8793650793650793,1.0,2003-03-31,2026-03-31,184,1.0082637506243095,1.1831768953068593,True,"bayesian_ridge,elasticnet,gbt,ridge"
mom_12m,price_relative,315,259,0.8222222222222222,1.0,2004-09-30,2026-03-31,259,1.0028975225337893,0.9963850327937259,True,"bayesian_ridge,elasticnet,gbt,ridge"
underwriting_income,edgar_company,315,255,0.8095238095238095,0.9666666666666667,2004-11-30,2026-03-31,187,265.6363723682348,226.55714117647057,True,elasticnet
combined_ratio_ttm,edgar_company,315,252,0.8,1.0,2005-04-29,2026-03-31,238,3.376254103655348,92.05077836184978,True,"bayesian_ridge,ridge"
investment_income_growth_yoy,edgar_company,315,245,0.7777777777777778,1.0,2005-11-30,2026-03-31,219,0.2585705909630286,0.2085999076870685,True,"bayesian_ridge,elasticnet,ridge"
buyback_yield,edgar_company,315,241,0.765079365079365,1.0,2004-12-31,2026-03-31,175,1.0365789387647177,0.18592317955571985,True,bayesian_ridge
buyback_acceleration,edgar_company,315,239,0.7587301587301587,1.0,2005-06-30,2026-03-31,173,1.706814210439883,1.0541627895398593,True,bayesian_ridge
roe_net_income_ttm,edgar_company,315,228,0.7238095238095238,0.55,2004-11-30,2025-02-28,117,7.817955497629692,19.493859649122808,True,"bayesian_ridge,elasticnet,ridge"
pgr_vs_peers_6m,price_relative,315,311,0.9873015873015873,1.0,2000-05-31,2026-03-31,228,0.20424827356582018,0.14491591491525674,False,
medical_cpi_yoy,macro,315,305,0.9682539682539683,1.0,2000-11-30,2026-03-31,274,0.014613688448756212,0.036261320015588044,False,
ppi_auto_ins_yoy,macro,315,305,0.9682539682539683,1.0,2000-11-30,2026-03-31,264,0.031349983067905436,0.0383453904691889,False,
used_car_cpi_yoy,macro,315,305,0.9682539682539683,1.0,2000-11-30,2026-03-31,272,0.08863293219231501,0.053477802960092365,False,
high_52w,price_relative,315,288,0.9142857142857143,1.0,2002-04-30,2026-03-31,257,0.3312751830013553,0.6931193423491419,False,
pgr_vs_vfh_6m,price_relative,315,260,0.8253968253968254,1.0,2004-08-31,2026-03-31,191,0.19886145252153153,0.14187147635393496,False,
gainshare_est,edgar_company,315,257,0.8158730158730159,1.0,2004-11-30,2026-03-31,182,0.3348415789409942,0.5510078539792314,False,
pb_ratio,fundamental,315,255,0.8095238095238095,1.0,2004-11-30,2026-03-31,186,1.104194119970629,3.124228215121332,False,
unearned_premium_to_npw_ratio,edgar_company,315,255,0.8095238095238095,1.0,2004-11-30,2026-03-31,186,0.49821538687807937,3.8776444606771876,False,
underwriting_income_3m,edgar_company,315,254,0.8063492063492064,0.9666666666666667,2004-12-31,2026-03-31,254,245.2525090069638,214.9021920603674,False,
