target_variant,item_type,item_name,benchmark,horizon_months,gate_status,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value,strategy,n_features,model_type,brier_score,accuracy,balanced_accuracy,precision,recall,base_rate,predicted_positive_rate
continuous_relative_return,baseline,historical_mean,VTI,6,FAIL,222,-0.10770763729268408,0.5540540540540541,0.13053363377902102,-0.2862715791075685,-0.10770763729268408,0.4260008691490285,historical_mean,,,,,,,,,
continuous_relative_return,baseline,last_value,VTI,6,FAIL,222,-0.0764111329415185,0.49099099099099097,0.17300754670489427,-1.1292596563917985,-0.0764111329415185,0.5028416099014188,last_value,,,,,,,,,
continuous_relative_return,baseline,zero,VTI,6,FAIL,222,,0.0,0.125359407061443,-0.10821531522563133,,2.6593393292186794e-29,zero,,,,,,,,,
continuous_relative_return,model,elasticnet,VTI,6,FAIL,222,0.06402223369669105,0.4954954954954955,0.17368565086667087,-1.5210549987227395,0.06402223369669105,0.6094242093804475,,14.0,elasticnet,,,,,,,
continuous_relative_return,model,ridge,VTI,6,FAIL,222,-0.1045396389632739,0.43243243243243246,0.20656248423814572,-3.7430723664809316,-0.1045396389632739,0.4318536172145282,,14.0,ridge,,,,,,,
continuous_relative_return,model,bayesian_ridge,VTI,6,FAIL,222,0.08513269473438294,0.5315315315315315,0.35845602511600605,-29.818770815249422,0.08513269473438294,0.4975215349992243,,16.0,bayesian_ridge,,,,,,,
continuous_relative_return,model,gbt,VTI,6,FAIL,222,0.11807697971559737,0.6036036036036037,0.15469283591623773,-0.6901464103604962,0.11807697971559737,0.23832833720536317,,11.0,gbt,,,,,,,
continuous_relative_return,ensemble,ensemble,VTI,6,FAIL,222,0.06716037710498275,0.5180180180180181,0.16983887513521667,-1.5895330080920953,0.06716037710498275,0.5880958969770905,,13.0,ensemble,,,,,,,
continuous_relative_return,baseline,historical_mean,VOO,6,FAIL,108,-0.3403893757875006,0.46296296296296297,0.16560505925716204,-0.5271412468762955,-0.3403893757875006,0.013589867724685605,historical_mean,,,,,,,,,
continuous_relative_return,baseline,last_value,VOO,6,FAIL,108,-0.21599211484127814,0.5555555555555556,0.17900538551425493,-0.9901452106405666,-0.21599211484127814,0.18412289637333296,last_value,,,,,,,,,
continuous_relative_return,baseline,zero,VOO,6,FAIL,108,,0.0,0.1441334875114475,-0.13927739604661427,,1.0094635429405143e-15,zero,,,,,,,,,
continuous_relative_return,model,elasticnet,VOO,6,FAIL,108,0.08388076735206743,0.4074074074074074,0.1882511155360181,-1.203533115276631,0.08388076735206743,0.5842121402619932,,14.0,elasticnet,,,,,,,
continuous_relative_return,model,ridge,VOO,6,FAIL,108,0.17337829984661846,0.42592592592592593,0.19296481030839643,-1.4561119647621639,0.17337829984661846,0.20781068803520011,,14.0,ridge,,,,,,,
continuous_relative_return,model,bayesian_ridge,VOO,6,FAIL,108,0.35925576609791654,0.5277777777777778,0.21940119349607587,-4.9437148432022795,0.35925576609791654,0.003980797514340835,,16.0,bayesian_ridge,,,,,,,
continuous_relative_return,model,gbt,VOO,6,FAIL,108,0.013194748776392855,0.5370370370370371,0.2599971020932929,-5.2604282989888045,0.013194748776392855,0.9213395389647626,,11.0,gbt,,,,,,,
continuous_relative_return,ensemble,ensemble,VOO,6,FAIL,108,0.22229843665151905,0.4444444444444444,0.18513467373748718,-1.24265084738584,0.22229843665151905,0.11655992297570938,,13.0,ensemble,,,,,,,
continuous_relative_return,baseline,historical_mean,VGT,6,FAIL,186,-0.18353164135322725,0.4731182795698925,0.13486502232487135,-0.11322428778684457,-0.18353164135322725,0.16009190049460498,historical_mean,,,,,,,,,
continuous_relative_return,baseline,last_value,VGT,6,FAIL,186,-0.16408584038759616,0.41935483870967744,0.17990800171428184,-1.1719501919395587,-0.16408584038759616,0.1961628033066079,last_value,,,,,,,,,
continuous_relative_return,baseline,zero,VGT,6,FAIL,186,,0.0,0.12809146486397568,-0.01583413468346917,,4.864855478787116e-25,zero,,,,,,,,,
continuous_relative_return,model,elasticnet,VGT,6,FAIL,186,-0.028447617463519665,0.489247311827957,0.16666366174857056,-0.780768450671572,-0.028447617463519665,0.8250199167589424,,14.0,elasticnet,,,,,,,
continuous_relative_return,model,ridge,VGT,6,FAIL,186,0.0069700544083845795,0.46236559139784944,0.16273044148111046,-0.6914390088161275,0.0069700544083845795,0.9603583166354996,,14.0,ridge,,,,,,,
continuous_relative_return,model,bayesian_ridge,VGT,6,FAIL,186,0.18318421923735015,0.5860215053763441,0.2192264069971028,-7.9663250711381135,0.18318421923735015,0.14825374966546542,,16.0,bayesian_ridge,,,,,,,
continuous_relative_return,model,gbt,VGT,6,FAIL,186,0.1591493781955628,0.5645161290322581,0.14010090224743665,-0.2324809276190012,0.1591493781955628,0.13204970813509515,,11.0,gbt,,,,,,,
continuous_relative_return,ensemble,ensemble,VGT,6,FAIL,186,0.15585228146897973,0.543010752688172,0.1515696509972285,-0.4769609437832807,0.15585228146897973,0.2117380419442598,,13.0,ensemble,,,,,,,
continuous_relative_return,baseline,historical_mean,VHT,6,FAIL,186,0.06767407417227392,0.6021505376344086,0.1220140852088913,-0.1073565258809186,0.06767407417227392,0.6257676940831872,historical_mean,,,,,,,,,
continuous_relative_return,baseline,last_value,VHT,6,FAIL,186,0.06128170091299047,0.5376344086021505,0.14992943678300602,-0.6606365370047942,0.06128170091299047,0.6123003682868301,last_value,,,,,,,,,
continuous_relative_return,baseline,zero,VHT,6,FAIL,186,,0.0,0.12438101140228298,-0.08611452358658545,,2.045127847779999e-24,zero,,,,,,,,,
continuous_relative_return,model,elasticnet,VHT,6,FAIL,186,0.17515681393433652,0.5752688172043011,0.14388768487192177,-0.6395526858393963,0.17515681393433652,0.19814692698555722,,14.0,elasticnet,,,,,,,
continuous_relative_return,model,ridge,VHT,6,FAIL,186,0.12125470303838423,0.5591397849462365,0.1405840216338363,-0.5976228170046087,0.12125470303838423,0.37335836912657056,,14.0,ridge,,,,,,,
continuous_relative_return,model,bayesian_ridge,VHT,6,FAIL,186,0.2477096727571111,0.6021505376344086,0.17405004319616985,-1.2020456528491383,0.2477096727571111,0.01858548790400545,,16.0,bayesian_ridge,,,,,,,
continuous_relative_return,model,gbt,VHT,6,FAIL,186,0.12189317994034707,0.6021505376344086,0.13237666612933915,-0.3284533183835432,0.12189317994034707,0.303346584759728,,11.0,gbt,,,,,,,
continuous_relative_return,ensemble,ensemble,VHT,6,FAIL,186,0.21648009921254702,0.6559139784946236,0.1361398900345375,-0.410204015699299,0.21648009921254702,0.08189600648662802,,13.0,ensemble,,,,,,,
continuous_relative_return,baseline,historical_mean,VFH,6,FAIL,186,-0.11121162164224467,0.532258064516129,0.12796003241830747,-0.14846623445772877,-0.11121162164224467,0.4448969737125817,historical_mean,,,,,,,,,
continuous_relative_return,baseline,last_value,VFH,6,FAIL,186,0.03459270292677029,0.521505376344086,0.1560703799820856,-0.9980679133459094,0.03459270292677029,0.8028896577628958,last_value,,,,,,,,,
continuous_relative_return,baseline,zero,VFH,6,FAIL,186,,0.0,0.12295767357971643,-0.08279885521551411,,2.031541409446658e-24,zero,,,,,,,,,
continuous_relative_return,model,elasticnet,VFH,6,FAIL,186,0.012512422010714327,0.521505376344086,0.16299294859732052,-1.0139977340226607,0.012512422010714327,0.927589062296671,,14.0,elasticnet,,,,,,,
continuous_relative_return,model,ridge,VFH,6,FAIL,186,0.12653236296500053,0.5,0.13632479333118294,-0.43523689825416856,0.12653236296500053,0.378574002676885,,14.0,ridge,,,,,,,
continuous_relative_return,model,bayesian_ridge,VFH,6,FAIL,186,0.1939073798656341,0.5483870967741935,0.18635168116979547,-3.714923696093396,0.1939073798656341,0.12821577357619943,,16.0,bayesian_ridge,,,,,,,
continuous_relative_return,model,gbt,VFH,6,FAIL,186,0.2713768668369754,0.5752688172043011,0.1361314927834808,-0.43597016064078065,0.2713768668369754,0.027353642225463222,,11.0,gbt,,,,,,,
continuous_relative_return,ensemble,ensemble,VFH,6,FAIL,186,0.20911002429028994,0.532258064516129,0.13854931792311617,-0.48516041039286106,0.20911002429028994,0.12344593568966845,,13.0,ensemble,,,,,,,
continuous_relative_return,baseline,historical_mean,VIS,6,FAIL,180,0.003372296402169449,0.5333333333333333,0.13098406146435,-0.1481079319571761,0.003372296402169449,0.9814431206807419,historical_mean,,,,,,,,,
continuous_relative_return,baseline,last_value,VIS,6,FAIL,180,-0.05878666145759857,0.5222222222222223,0.16212559220496398,-0.9287605833085404,-0.05878666145759857,0.6711282850767784,last_value,,,,,,,,,
continuous_relative_return,baseline,zero,VIS,6,FAIL,180,,0.0,0.1252795872337264,-0.07724729828182486,,8.305360869640397e-24,zero,,,,,,,,,
continuous_relative_return,model,elasticnet,VIS,6,FAIL,180,0.05678171812478023,0.4888888888888889,0.16461326007927718,-1.0032028051514756,0.05678171812478023,0.6735919270851068,,14.0,elasticnet,,,,,,,
continuous_relative_return,model,ridge,VIS,6,FAIL,180,0.09348642447812175,0.4888888888888889,0.14641771397412665,-0.4946185005920356,0.09348642447812175,0.48701195597446295,,14.0,ridge,,,,,,,
continuous_relative_return,model,bayesian_ridge,VIS,6,FAIL,180,0.16266962972108195,0.5111111111111111,0.22827678315401648,-30.165000517846565,0.16266962972108195,0.1959301328755984,,16.0,bayesian_ridge,,,,,,,
continuous_relative_return,model,gbt,VIS,6,FAIL,180,0.1639570271321286,0.5722222222222222,0.14432568868582532,-0.4610692944719974,0.1639570271321286,0.1488049412789273,,11.0,gbt,,,,,,,
continuous_relative_return,ensemble,ensemble,VIS,6,FAIL,180,0.1402388962622303,0.5166666666666667,0.15295235888309516,-0.8554407329866982,0.1402388962622303,0.2902574314730412,,13.0,ensemble,,,,,,,
continuous_relative_return,baseline,historical_mean,VDE,6,FAIL,180,-0.029078336009915325,0.5777777777777777,0.18408932524346094,-0.17140403615942135,-0.029078336009915325,0.8499234885352124,historical_mean,,,,,,,,,
continuous_relative_return,baseline,last_value,VDE,6,FAIL,180,-0.08270155462463172,0.4777777777777778,0.24043845908352407,-1.0553264052748292,-0.08270155462463172,0.5442140279263972,last_value,,,,,,,,,
continuous_relative_return,baseline,zero,VDE,6,FAIL,180,,0.0,0.18217258795134048,-0.10778525311054854,,4.7166828954067026e-23,zero,,,,,,,,,
continuous_relative_return,model,elasticnet,VDE,6,FAIL,180,-0.049157563605754205,0.5444444444444444,0.25432679479193065,-1.4738003387368308,-0.049157563605754205,0.7183249638810728,,14.0,elasticnet,,,,,,,
continuous_relative_return,model,ridge,VDE,6,FAIL,180,-0.10368632776731791,0.48333333333333334,0.22624969934132294,-0.66725061159486,-0.10368632776731791,0.4278921697088685,,14.0,ridge,,,,,,,
continuous_relative_return,model,bayesian_ridge,VDE,6,FAIL,180,-0.02994742636089591,0.5055555555555555,0.7114352301035963,-522.343472244009,-0.02994742636089591,0.8357213537416954,,16.0,bayesian_ridge,,,,,,,
continuous_relative_return,model,gbt,VDE,6,FAIL,180,0.07911539569948342,0.6055555555555555,0.2093583578862809,-0.5846133092020549,0.07911539569948342,0.5301263270189209,,11.0,gbt,,,,,,,
continuous_relative_return,ensemble,ensemble,VDE,6,FAIL,180,-0.03364918670329331,0.55,0.23473762274925478,-1.3138927462974856,-0.03364918670329331,0.8016543965344246,,13.0,ensemble,,,,,,,
continuous_relative_return,baseline,historical_mean,VPU,6,FAIL,186,0.08209329791650696,0.6827956989247311,0.11983281598935797,-0.08342127622409112,0.08209329791650696,0.5687671217700712,historical_mean,,,,,,,,,
continuous_relative_return,baseline,last_value,VPU,6,FAIL,186,-0.01913233957988687,0.510752688172043,0.16487326350443987,-0.8314147485944579,-0.01913233957988687,0.8659889548434557,last_value,,,,,,,,,
continuous_relative_return,baseline,zero,VPU,6,FAIL,186,,0.0,0.12241578214458063,-0.12427310558644855,,6.32347696390441e-26,zero,,,,,,,,,
continuous_relative_return,model,elasticnet,VPU,6,FAIL,186,0.27189816039934994,0.6129032258064516,0.13857939482679588,-0.5744537467406841,0.27189816039934994,0.02244228647201888,,14.0,elasticnet,,,,,,,
continuous_relative_return,model,ridge,VPU,6,FAIL,186,0.1933329914354582,0.5483870967741935,0.13142735479102446,-0.32599257936350634,0.1933329914354582,0.1238242434564123,,14.0,ridge,,,,,,,
continuous_relative_return,model,bayesian_ridge,VPU,6,FAIL,186,0.28651259505149446,0.5698924731182796,0.17700152215784823,-3.1906713787596015,0.28651259505149446,0.012723222208582382,,16.0,bayesian_ridge,,,,,,,
continuous_relative_return,model,gbt,VPU,6,FAIL,186,0.16951237138652053,0.5591397849462365,0.13179015593962057,-0.30894686203671484,0.16951237138652053,0.18157904760576546,,11.0,gbt,,,,,,,
continuous_relative_return,ensemble,ensemble,VPU,6,FAIL,186,0.2527896535486668,0.5860215053763441,0.13090271203454207,-0.32989482245966983,0.2527896535486668,0.03729029874479815,,13.0,ensemble,,,,,,,
continuous_relative_return,baseline,historical_mean,KIE,6,FAIL,168,-0.029994155850293726,0.5059523809523809,0.14302774172614283,-0.19226244366277467,-0.029994155850293726,0.8414286479845099,historical_mean,,,,,,,,,
continuous_relative_return,baseline,last_value,KIE,6,FAIL,168,0.0636957960103502,0.6369047619047619,0.1849926664113653,-0.9201868299847231,0.0636957960103502,0.632275928600291,last_value,,,,,,,,,
continuous_relative_return,baseline,zero,KIE,6,FAIL,168,,0.0,0.1353907209633104,-0.12363740521054867,,2.5478815874050477e-21,zero,,,,,,,,,
continuous_relative_return,model,elasticnet,KIE,6,FAIL,168,0.17757118223251425,0.5297619047619048,0.27402467229137284,-7.336373970981633,0.17757118223251425,0.1889486871719406,,14.0,elasticnet,,,,,,,
continuous_relative_return,model,ridge,KIE,6,FAIL,168,0.027890120013565438,0.5416666666666666,0.26460292562659565,-4.763732009519324,0.027890120013565438,0.8435396000313135,,14.0,ridge,,,,,,,
continuous_relative_return,model,bayesian_ridge,KIE,6,FAIL,168,0.1660221399972667,0.5773809523809523,0.2731014934928243,-3.579645935051353,0.1660221399972667,0.18430305635152305,,16.0,bayesian_ridge,,,,,,,
continuous_relative_return,model,gbt,KIE,6,FAIL,168,0.21375526663858013,0.6071428571428571,0.18371609571487188,-0.6785925816993457,0.21375526663858013,0.0610149234795091,,11.0,gbt,,,,,,,
continuous_relative_return,ensemble,ensemble,KIE,6,FAIL,168,0.1589964618522887,0.5952380952380952,0.22212357808927333,-2.3643217885291956,0.1589964618522887,0.20466211637443515,,13.0,ensemble,,,,,,,
continuous_relative_return,baseline,historical_mean,VXUS,6,FAIL,102,-0.34854073899287713,0.696078431372549,0.1508877703535426,-0.11964934467311061,-0.34854073899287713,0.021297253521425613,historical_mean,,,,,,,,,
continuous_relative_return,baseline,last_value,VXUS,6,FAIL,102,-0.27139687418068614,0.5980392156862745,0.1835820487212755,-0.8434020685664987,-0.27139687418068614,0.15219737544172302,last_value,,,,,,,,,
continuous_relative_return,baseline,zero,VXUS,6,FAIL,102,,0.0,0.16633135172371744,-0.22185400696091606,,2.248180191037682e-14,zero,,,,,,,,,
continuous_relative_return,model,elasticnet,VXUS,6,FAIL,102,-0.09770200715705342,0.6764705882352942,0.17075149628440844,-0.4625130509058921,-0.09770200715705342,0.5809298805170797,,14.0,elasticnet,,,,,,,
continuous_relative_return,model,ridge,VXUS,6,FAIL,102,-0.014843003432267842,0.5490196078431373,0.1842085210893344,-0.6028812290699579,-0.014843003432267842,0.93079199351618,,14.0,ridge,,,,,,,
continuous_relative_return,model,bayesian_ridge,VXUS,6,FAIL,102,0.118138998365856,0.45098039215686275,0.22454603156387667,-3.307609137258707,0.118138998365856,0.5139075722317654,,16.0,bayesian_ridge,,,,,,,
continuous_relative_return,model,gbt,VXUS,6,FAIL,102,0.13418302725173237,0.6764705882352942,0.1489487007506607,-0.12205009954748358,0.13418302725173237,0.3176795960987352,,11.0,gbt,,,,,,,
continuous_relative_return,ensemble,ensemble,VXUS,6,FAIL,102,-0.012931790037941544,0.6764705882352942,0.16795310590089643,-0.3237684957141702,-0.012931790037941544,0.9377920051483266,,13.0,ensemble,,,,,,,
continuous_relative_return,baseline,historical_mean,VEA,6,FAIL,144,-0.16512616003201488,0.6875,0.14110479302934262,-0.13209473929611293,-0.16512616003201488,0.28115180718842053,historical_mean,,,,,,,,,
continuous_relative_return,baseline,last_value,VEA,6,FAIL,144,-0.22736824812359138,0.5625,0.17872940626570707,-1.0447058048108269,-0.22736824812359138,0.1384854629516514,last_value,,,,,,,,,
continuous_relative_return,baseline,zero,VEA,6,FAIL,144,,0.0,0.15291006878919294,-0.2441021167262396,,5.830390360995791e-20,zero,,,,,,,,,
continuous_relative_return,model,elasticnet,VEA,6,FAIL,144,0.00989918938044375,0.6527777777777778,0.15291625199302875,-0.4138501431967401,0.00989918938044375,0.9459609986117355,,14.0,elasticnet,,,,,,,
continuous_relative_return,model,ridge,VEA,6,FAIL,144,-0.05390643838919701,0.5694444444444444,0.1611983823019823,-0.4997119586442682,-0.05390643838919701,0.7173914177070598,,14.0,ridge,,,,,,,
continuous_relative_return,model,bayesian_ridge,VEA,6,FAIL,144,0.12955148299975888,0.5069444444444444,0.19129040178400183,-3.374453039985938,0.12955148299975888,0.3825491725864545,,16.0,bayesian_ridge,,,,,,,
continuous_relative_return,model,gbt,VEA,6,FAIL,144,0.10513105965342154,0.6111111111111112,0.1457562045480751,-0.22285896621420487,0.10513105965342154,0.36807802723567057,,11.0,gbt,,,,,,,
continuous_relative_return,ensemble,ensemble,VEA,6,FAIL,144,-0.0035567880395466606,0.6319444444444444,0.15403548926793953,-0.36512672329315343,-0.0035567880395466606,0.9807176174369107,,13.0,ensemble,,,,,,,
continuous_relative_return,baseline,historical_mean,VWO,6,FAIL,174,-0.15906232805678788,0.6379310344827587,0.14512651944416144,-0.22274077541900983,-0.15906232805678788,0.25562804694184993,historical_mean,,,,,,,,,
continuous_relative_return,baseline,last_value,VWO,6,FAIL,174,-0.09180512494585306,0.5689655172413793,0.17555026785465933,-0.8381910183310415,-0.09180512494585306,0.44205083715437804,last_value,,,,,,,,,
continuous_relative_return,baseline,zero,VWO,6,FAIL,174,,0.0,0.15174006791921385,-0.2660157207300322,,3.2544769881373374e-24,zero,,,,,,,,,
continuous_relative_return,model,elasticnet,VWO,6,FAIL,174,-0.022373735156321326,0.6091954022988506,0.16309379255800938,-0.5272641883574805,-0.022373735156321326,0.843630572763474,,14.0,elasticnet,,,,,,,
continuous_relative_return,model,ridge,VWO,6,FAIL,174,0.03490190495173552,0.4885057471264368,0.16787148727612733,-0.5631756310784368,0.03490190495173552,0.7774609167276577,,14.0,ridge,,,,,,,
continuous_relative_return,model,bayesian_ridge,VWO,6,FAIL,174,0.036460035878014746,0.5172413793103449,0.1914492626896045,-1.1726184858731048,0.036460035878014746,0.7627147123825335,,16.0,bayesian_ridge,,,,,,,
continuous_relative_return,model,gbt,VWO,6,FAIL,174,0.10680032416477553,0.5977011494252874,0.15799705580116444,-0.5161594374808531,0.10680032416477553,0.3533161907057444,,11.0,gbt,,,,,,,
continuous_relative_return,ensemble,ensemble,VWO,6,FAIL,174,0.0573809049232609,0.5459770114942529,0.1587384164249258,-0.40050119265125694,0.0573809049232609,0.635574860509425,,13.0,ensemble,,,,,,,
continuous_relative_return,baseline,historical_mean,VIG,6,FAIL,162,-0.1145958705242536,0.5987654320987654,0.11365089320503874,-0.12898943064549573,-0.1145958705242536,0.44251837217422413,historical_mean,,,,,,,,,
continuous_relative_return,baseline,last_value,VIG,6,FAIL,162,-0.12284907799915919,0.47530864197530864,0.15202671050646,-0.8962724034217819,-0.12284907799915919,0.32473871294210993,last_value,,,,,,,,,
continuous_relative_return,baseline,zero,VIG,6,FAIL,162,,0.0,0.11842436920040482,-0.16562894988127774,,6.601648672856844e-22,zero,,,,,,,,,
continuous_relative_return,model,elasticnet,VIG,6,FAIL,162,0.07467967882391396,0.5617283950617284,0.13300967388490556,-0.6921038129773442,0.07467967882391396,0.6057170176047054,,14.0,elasticnet,,,,,,,
continuous_relative_return,model,ridge,VIG,6,FAIL,162,0.05266307346862161,0.47530864197530864,0.13681791092010648,-0.732357584894967,0.05266307346862161,0.7107863972880032,,14.0,ridge,,,,,,,
continuous_relative_return,model,bayesian_ridge,VIG,6,FAIL,162,0.2851483499656346,0.5185185185185185,0.19016200207233297,-19.48339125782317,0.2851483499656346,0.03309020308877831,,16.0,bayesian_ridge,,,,,,,
continuous_relative_return,model,gbt,VIG,6,FAIL,162,0.14347973970398814,0.6172839506172839,0.11717159605273349,-0.19735660634660857,0.14347973970398814,0.2154962924893538,,11.0,gbt,,,,,,,
continuous_relative_return,ensemble,ensemble,VIG,6,FAIL,162,0.17636731347054102,0.5679012345679012,0.12465029008955855,-0.4848716599087226,0.17636731347054102,0.19395736568819472,,13.0,ensemble,,,,,,,
continuous_relative_return,baseline,historical_mean,SCHD,6,FAIL,96,-0.5731730951353262,0.6979166666666666,0.1806633761306001,-0.15511774091825115,-0.5731730951353262,0.00042318253921676843,historical_mean,,,,,,,,,
continuous_relative_return,baseline,last_value,SCHD,6,FAIL,96,-0.085458159581992,0.6354166666666666,0.2413240889408671,-1.2456306347720902,-0.085458159581992,0.6675105852090427,last_value,,,,,,,,,
continuous_relative_return,baseline,zero,SCHD,6,FAIL,96,,0.0,0.18709766381406714,-0.21532313232597344,,2.6190448735861006e-13,zero,,,,,,,,,
continuous_relative_return,model,elasticnet,SCHD,6,FAIL,96,-0.0793731578291973,0.5625,0.21619875805364588,-0.6526613168449558,-0.0793731578291973,0.6840718293212099,,14.0,elasticnet,,,,,,,
continuous_relative_return,model,ridge,SCHD,6,FAIL,96,-0.10344546934346176,0.4375,0.22272555536334848,-0.600899150823927,-0.10344546934346176,0.5942904613009818,,14.0,ridge,,,,,,,
continuous_relative_return,model,bayesian_ridge,SCHD,6,FAIL,96,-0.12190721649484536,0.46875,0.24995817428681674,-1.7744059351143902,-0.12190721649484536,0.5586159770640994,,16.0,bayesian_ridge,,,,,,,
continuous_relative_return,model,gbt,SCHD,6,FAIL,96,-0.043802056501646376,0.6145833333333334,0.19022344181167627,-0.33610851195161184,-0.043802056501646376,0.7846447500910607,,11.0,gbt,,,,,,,
continuous_relative_return,ensemble,ensemble,SCHD,6,FAIL,96,-0.10747422680412369,0.5416666666666666,0.19912523779674188,-0.47353063993818356,-0.10747422680412369,0.5770281702408119,,13.0,ensemble,,,,,,,
continuous_relative_return,baseline,historical_mean,BND,6,FAIL,150,-0.02335787910478299,0.7533333333333333,0.11214868394685844,-0.08936537908430808,-0.02335787910478299,0.8915337059760358,historical_mean,,,,,,,,,
continuous_relative_return,baseline,last_value,BND,6,FAIL,150,-0.2016378521623131,0.6333333333333333,0.1616277595672115,-1.1497522510327585,-0.2016378521623131,0.0922971230605787,last_value,,,,,,,,,
continuous_relative_return,baseline,zero,BND,6,FAIL,150,,0.0,0.13848052139713998,-0.5758363609765151,,1.513754243161048e-20,zero,,,,,,,,,
continuous_relative_return,model,elasticnet,BND,6,FAIL,150,0.1169091323168689,0.66,0.13830278732512455,-0.7059765224361365,0.1169091323168689,0.31858460761664115,,14.0,elasticnet,,,,,,,
continuous_relative_return,model,ridge,BND,6,FAIL,150,0.09216231832525891,0.64,0.14139997137806978,-0.7294135463833973,0.09216231832525891,0.4885320845159411,,14.0,ridge,,,,,,,
